QUESTION,BT LEVEL,Processed Question,Prediction (Naïve Bayes),Prediction (Random Forest),Prediction (SVM)
Discuss FIVE (5) advantages of IBS compared to conventional in situ concrete. ,Comprehension,discu five (5) advantag of ib compar to convent in situ concrete.,Understand,Understand,Understand
IBS components can be divided into five broad categories. Briefly describe with examples all FIVE (5) categories. ,Comprehension,ib compon can be divid into five broad categories. briefli describ with exampl all five (5) categories.,Understand,Understand,Understand
Discuss FIVE (5) advantages of IBS compared to conventional in situ concrete. ,Comprehension,discu five (5) advantag of ib compar to convent in situ concrete.,Understand,Understand,Understand
"Compare the gravity retaining wall, semi gravity retaining wall and cantilever retaining wall in the aspects of shape design, maximum height and method of construction. ",Comprehension,"compar the graviti retain wall, semi graviti retain wall and cantilev retain wall in the aspect of shape design, maximum height and method of construction.",Analyze,Create,Analyze
Pre-cast concrete retaining walls may be constructed with any or all of the joints. Describe the THREE (3) types of joints used. ,Comprehension,pre-cast concret retain wall may be construct with ani or all of the joints. describ the three (3) type of joint used.,Understand,Remember,Understand
Discuss THREE (3) situations that necessitate the use of pile foundation. ,Comprehension,discu three (3) situat that necessit the use of pile foundation.,Understand,Apply,Understand
Differentiate between Putlog and Independent Scaffold. ,Analysis,differenti between putlog and independ scaffold.,Analyze,Analyze,Analyze
Explain FIVE (5) characteristics of Industrialised Building System (IBS) in construction. ,Comprehension,explain five (5) characterist of industrialis build system (ibs) in construction.,Understand,Evaluate,Understand
Name and sketch the proposed retaining wall in plan view to show the main elements of the wall. ,Application,name and sketch the propos retain wall in plan view to show the main element of the wall.,Apply,Create,Apply
List and explain the FOUR (4) considerations when selecting a basement wall. ,Comprehension,list and explain the four (4) consider when select a basement wall.,Understand,Apply,Understand
"In the renovation of a new car showroom, the client wishes to attract the attention of pedestrians who passes by their building. Propose the type of external envelop for this building and explain the reasons. Sketch the proposed external envelop. ",Synthesis,"in the renov of a new car showroom, the client wish to attract the attent of pedestrian who pass by their building. propos the type of extern envelop for thi build and explain the reasons. sketch the propos extern envelop.",Apply,Create,Analyze
"Write a formula to show the steady state assumption. If all other conditions remain identical, explain how an increase in k-1 would affect the Michaelis constant.",Application,"write a formula to show the steadi state assumption. if all other condit remain identical, explain how an increas in k-1 would affect the micha constant.",Apply,Create,Understand
Describe “mechanism-based inhibitors”. ,Comprehension,describ “mechanism-bas inhibitors”.,Understand,Remember,Understand
State the forces stabilizing functional structure of enzyme which is most susceptible to drastic pH changes. Explain your answer using an example. ,Comprehension,state the forc stabil function structur of enzym which is most suscept to drastic ph changes. explain your answer use an example.,Apply,Remember,Understand
Describe the principles of a coupled enzyme assay. ,Comprehension,describ the principl of a coupl enzym assay.,Understand,Remember,Understand
Discuss the advantages and disadvantages of using laccase-based de colorization treatment.,Comprehension,discu the advantag and disadvantag of use laccase-bas de color treatment.,Understand,Apply,Understand
Suggest a technique that can overcome the problem of non-reusability for industrial enzyme applications. ,Synthesis,suggest a techniqu that can overcom the problem of non-reus for industri enzym applications.,Analyze,Analyze,Analyze
"Enzyme therapy is applied clinically to treat Gaucher disease. Describe the cause of the disease, the therapeutic enzyme and its function. ",Comprehension,"enzym therapi is appli clinic to treat gaucher disease. describ the caus of the disease, the therapeut enzym and it function.",Apply,Understand,Understand
State the advantage of applying each step in the purification scheme. ,Comprehension,state the advantag of appli each step in the purif scheme.,Apply,Remember,Apply
Draw a table indicating purification fold and yield at each step. ,Comprehension,draw a tabl indic purif fold and yield at each step.,Remember,Remember,Remember
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. Describe some potential complications during Edman degradation protein sequencing. ,Comprehension,draw a diagram to illustr the edman degrad reaction in protein sequencing. describ some potenti complic dure edman degrad protein sequencing.,Understand,Remember,Understand
Explain the functional advantages provided by enzymes with a quaternary structure. ,Comprehension,explain the function advantag provid by enzym with a quaternari structure.,Understand,Evaluate,Understand
Discuss the regulation of ATCase which is an allosteric enzyme. ,Comprehension,discu the regul of atcas which is an alloster enzyme.,Understand,Understand,Understand
Draw and label the typical heat denaturation curves for mesophilic and thermophilic enzymes. ,Comprehension,draw and label the typic heat denatur curv for mesophil and thermophil enzymes.,Remember,Remember,Remember
Describe the limitations of using ribozyme as a catalyst. ,Comprehension,describ the limit of use ribozym a a catalyst.,Apply,Understand,Understand
Explain the main difference between uncompetitive and noncompetitive inhibitors. ,Comprehension,explain the main differ between uncompetit and noncompetit inhibitors.,Understand,Evaluate,Understand
Name the enzyme commonly used to detect liver damage or muscle damage in clinical diagnosis.,Knowledge,name the enzym commonli use to detect liver damag or muscl damag in clinic diagnosis.,Apply,Apply,Apply
"Based on the aspartate protease mechanism, explain the concept of using ""Crixivan"" to treat HIV patients. ",Comprehension,"base on the aspart proteas mechanism, explain the concept of use ""crixivan"" to treat hiv patients.",Apply,Evaluate,Understand
Elaborate on the importance of 'stability' for industrial enzymes. ,Comprehension,elabor on the import of 'stability' for industri enzymes.,Analyze,Analyze,Analyze
"The tyrosinase-containing solution was dissolved in 50 mM potassium phosphate buffer containing 0.01 mM NaCl, pH 6.5, before applying to a DEAE Sephadex A50 column. Suggest and explain how the mobile phase should be modified to elute the bound tyrosinase. ",Synthesis,"the tyrosinase-contain solut wa dissolv in 50 mm potassium phosphat buffer contain 0.01 mm nacl, ph 6.5, befor appli to a deae sephadex a50 column. suggest and explain how the mobil phase should be modifi to elut the bound tyrosinase.",Apply,Apply,Apply
"Oxygen is effectively transported by hemoglobin, regulated by some allosteric effectors in human blood. Name these allosteric effectors and discuss how their presence increases effective delivery of oxygen to tissues.",Comprehension,"oxygen is effect transport by hemoglobin, regul by some alloster effector in human blood. name these alloster effector and discu how their presenc increas effect deliveri of oxygen to tissues.",Understand,Understand,Understand
Explain the importance of using initial velocity to study enzymatic catalysis. ,Comprehension,explain the import of use initi veloc to studi enzymat catalysis.,Apply,Evaluate,Understand
Give the enzyme group number and name for acetylcholine esterase. Describe the non-covalent interactions used by acetylcholine esterase for substrate binding.,Comprehension,give the enzym group number and name for acetylcholin esterase. describ the non-coval interact use by acetylcholin esteras for substrat binding.,Understand,Apply,Analyze
Propose and explain a suitable enzyme-substrate interaction model for enzyme X.,Synthesis,propos and explain a suitabl enzyme-substr interact model for enzym x.,Understand,Create,Understand
Describe how accurate mass spectrometry could be applied to determine if a small protein contains a pair of disulfide-bonded cysteine residue or two reduced cysteine residues. Explain how you can confirm your finding. ,Analysis,describ how accur mass spectrometri could be appli to determin if a small protein contain a pair of disulfide-bond cystein residu or two reduc cystein residues. explain how you can confirm your finding.,Understand,Understand,Understand
Draw a pH denaturation profile for an enzyme. Explain what happens to the enzyme during pH denaturation. ,Comprehension,draw a ph denatur profil for an enzyme. explain what happen to the enzym dure ph denaturation.,Understand,Remember,Understand
Name two super secondary structures found within enzymes which involved formation of a-helices. Describe how the a-helices could be maintained in an enzyme. ,Comprehension,name two super secondari structur found within enzym which involv format of a-helices. describ how the a-helic could be maintain in an enzyme.,Understand,Remember,Understand
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. ,Comprehension,draw a diagram to illustr the edman degrad reaction in protein sequencing.,Analyze,Remember,Analyze
Describe the features of lactate dehydrogenase (LDH) as an isozyme. Discuss the diagnostic importance of LDH.,Comprehension,describ the featur of lactat dehydrogenas (ldh) a an isozyme. discu the diagnost import of ldh.,Understand,Understand,Understand
Chymotrypsin belongs to serine protease family. Describe the catalytic mechanism of chymotrypsin emphasizing the role of the catalytic triad and substrate binding site in catalysis. ,Comprehension,chymotrypsin belong to serin proteas family. describ the catalyt mechan of chymotrypsin emphas the role of the catalyt triad and substrat bind site in catalysis.,Understand,Understand,Understand
Describe the components involved in the formation of a folded enzyme. ,Comprehension,describ the compon involv in the format of a fold enzyme.,Understand,Remember,Understand
Provide the equations for the Eadie-Hofstee and Hanes-Woolf plot. Explain how these equations could be derived from the Michaelis-Menten equation. ,Application,provid the equat for the eadie-hofste and hanes-woolf plot. explain how these equat could be deriv from the michaelis-menten equation.,Understand,Evaluate,Understand
Explain the main disadvantage of Lineweaver-Burk plot. Suggest an alternative method to Lineweaver-Burk plot. ,Synthesis,explain the main disadvantag of lineweaver-burk plot. suggest an altern method to lineweaver-burk plot.,Understand,Evaluate,Understand
Draw and label an Eisenthal-Cornish-Bowden direct plot. Explain how kinetic parameters could be determined from this plot. ,Application,draw and label an eisenthal-cornish-bowden direct plot. explain how kinet paramet could be determin from thi plot.,Remember,Remember,Understand
Describe how the hexokinase enzymatic activity could be determined using the coupled assay method. ,Application,describ how the hexokinas enzymat activ could be determin use the coupl assay method.,Apply,Understand,Understand
Give ONE example of aspartic protease. Describe the mechanism of aspartic protease in relation to how pH affects its activity. ,Comprehension,give one exampl of aspart protease. describ the mechan of aspart proteas in relat to how ph affect it activity.,Understand,Understand,Understand
A cascade of zymogen activation occurs both with digestive proteases and blood clotting proteases. List THREE advantages of this activation.,Knowledge,a cascad of zymogen activ occur both with digest proteas and blood clot proteases. list three advantag of thi activation.,Analyze,Analyze,Analyze
Define the transition state and activation energy in relation to catalytic power of an enzyme. ,Comprehension,defin the transit state and activ energi in relat to catalyt power of an enzyme.,Remember,Remember,Understand
"The substrates of allosteric enzymes exhibit positive cooperativity. Explain positive cooperativity in terms of subunits, conformation, and activity of the active site. ",Comprehension,"the substrat of alloster enzym exhibit posit cooperativity. explain posit cooper in term of subunits, conformation, and activ of the activ site.",Understand,Evaluate,Understand
Describe the industrial application of enzymes in beer production. ,Comprehension,describ the industri applic of enzym in beer production.,Understand,Remember,Understand
Immobilization enables industrial enzymes to be used repeatedly. List THREE advantages of immobilized enzyme and give an example of large scale application of immobilized enzyme in industry.,Comprehension,immobil enabl industri enzym to be use repeatedly. list three advantag of immobil enzym and give an exampl of larg scale applic of immobil enzym in industry.,Understand,Apply,Understand
Explain how changes in amino acid ionization states could affect the catalytic activity of an enzyme. ,Comprehension,explain how chang in amino acid ioniz state could affect the catalyt activ of an enzyme.,Understand,Remember,Understand
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. ,Comprehension,draw a diagram to illustr the edman degrad reaction in protein sequencing.,Analyze,Remember,Analyze
Describe the interactions involved in stabilization of enzyme's quaternary structure. Explain which of these interactions is the least likely to be affected by denaturation at a liquid-liquid interface. ,Comprehension,describ the interact involv in stabil of enzyme' quaternari structure. explain which of these interact is the least like to be affect by denatur at a liquid-liquid interface.,Understand,Understand,Understand
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Propose an adsorption column chromatography technique which could retain protein X but elute other contaminants at pH 7. State your assumption(s). ",Synthesis,"you attempt to purifi a singl protein x from a complex mixtur of proteins. protein x ha a larg number of aspart and glutam acid residu and no lysine, arginin or histidin residues. propos an adsorpt column chromatographi techniqu which could retain protein x but elut other contamin at ph 7. state your assumption(s).",Remember,Create,Analyze
"You attempt to purify a single protein X from a complex mixture of proteins. Protein X has a large number of aspartic and glutamic acid residues and no lysine, arginine or histidine residues. Suggest and explain a method to elute protein X from the column. ",Synthesis,"you attempt to purifi a singl protein x from a complex mixtur of proteins. protein x ha a larg number of aspart and glutam acid residu and no lysine, arginin or histidin residues. suggest and explain a method to elut protein x from the column.",Understand,Evaluate,Understand
Describe the amino acid composition that could destabilize an enzyme's helical stability. ,Comprehension,describ the amino acid composit that could destabil an enzyme' helic stability.,Understand,Remember,Understand
Describe the enzyme characteristics that are desirable in high temperature industrial applications. ,Comprehension,describ the enzym characterist that are desir in high temperatur industri applications.,Understand,Remember,Understand
Enzymes are applied in the medical field based on their specific functions. List the THREE main areas of clinical enzymology and provide ONE example how enzymes are used in each area. ,Comprehension,enzym are appli in the medic field base on their specif functions. list the three main area of clinic enzymolog and provid one exampl how enzym are use in each area.,Apply,Apply,Apply
State the conditions necessary for the formation of enzyme's quaternary structure. Explain how quaternary structure could contribute to enzyme stability. ,Comprehension,state the condit necessari for the format of enzyme' quaternari structure. explain how quaternari structur could contribut to enzym stability.,Understand,Remember,Understand
Draw and label a titration curve for glutamic acid. Calculate the isoelectric point. ,Application,draw and label a titrat curv for glutam acid. calcul the isoelectr point.,Analyze,Remember,Analyze
Justify whether the enzyme after step 'Size-exclusion chromatography' is pure. Suggest a method to estimate the purity of the enzyme preparation. ,Evaluation,justifi whether the enzym after step 'size-exclus chromatography' is pure. suggest a method to estim the puriti of the enzym preparation.,Evaluate,Evaluate,Evaluate
State TWO types of enzyme specificities that do not agree with lock and key model. Explain your answer.,Comprehension,state two type of enzym specif that do not agre with lock and key model. explain your answer.,Understand,Remember,Understand
Draw and label an activity temperature profile for mesophilic and thermophilic enzymes. Provide explanation to this phenomenon.,Comprehension,draw and label an activ temperatur profil for mesophil and thermophil enzymes. provid explan to thi phenomenon.,Remember,Remember,Remember
Explain the importance of using initial rate to determine enzymatic activity.,Comprehension,explain the import of use initi rate to determin enzymat activity.,Evaluate,Evaluate,Analyze
Explain the TWO main factors that could affect enzyme catalytic efficiency.,Comprehension,explain the two main factor that could affect enzym catalyt efficiency.,Understand,Evaluate,Understand
Explain how the affinity of hemoglobin for oxygen is regulated. ,Comprehension,explain how the affin of hemoglobin for oxygen is regulated.,Understand,Evaluate,Understand
Explain how competitive and uncompetitive inhibitors will affect enzymatic reactions. ,Comprehension,explain how competit and uncompetit inhibitor will affect enzymat reactions.,Understand,Evaluate,Understand
Discuss various practices to achieve maximum yield and production of crude palm oil. ,Comprehension,discu variou practic to achiev maximum yield and product of crude palm oil.,Understand,Apply,Understand
"Discuss the importance of shikimate pathway, a primary metabolism pathway related to plant secondary metabolism. ",Comprehension,"discu the import of shikim pathway, a primari metabol pathway relat to plant secondari metabolism.",Understand,Understand,Understand
Discuss how curing can maintain quality and minimize decay of potato tubers in the postharvest stage. ,Comprehension,discu how cure can maintain qualiti and minim decay of potato tuber in the postharvest stage.,Understand,Understand,Understand
Describe the differences in the sugar compositions between unfermented and fermented cocoa beans. ,Comprehension,describ the differ in the sugar composit between unfer and ferment cocoa beans.,Understand,Remember,Understand
Discuss factors which could contribute to changes in the sugar compositions of cocoa beans during fermentation. ,Comprehension,discu factor which could contribut to chang in the sugar composit of cocoa bean dure fermentation.,Understand,Understand,Understand
"Illustrate with a drawing the biochemical pathway for natural rubber biosynthesis, beginning with acetyl CoA. ",Comprehension,"illustr with a draw the biochem pathway for natur rubber biosynthesis, begin with acetyl coa.",Understand,Remember,Understand
Describe the main disadvantage of palm oil with an indigenous broad melting interval ranging from -20 to 50°C. Refined palm oil is further processed to improve its marketable value. Discuss this process in relation to the secondary products from refined palm oil. ,Comprehension,describ the main disadvantag of palm oil with an indigen broad melt interv rang from -20 to 50°c. refin palm oil is further process to improv it market value. discu thi process in relat to the secondari product from refin palm oil.,Understand,Understand,Understand
Describe alkaloids chemically and how plants use this group of secondary metabolites to protect themselves from herbivores. ,Comprehension,describ alkaloid chemic and how plant use thi group of secondari metabolit to protect themselv from herbivores.,Analyze,Remember,Analyze
"Illustrate with a labeled drawing the pathway of sulfate assimilation in leaf mesophyll cells. In your answer, describe how sulfate is transported from the root to leaf cells, the energy requirements of sulfate assimilation, and the fate of unassimilated sulfate. ",Comprehension,"illustr with a label draw the pathway of sulfat assimil in leaf mesophyl cells. in your answer, describ how sulfat is transport from the root to leaf cells, the energi requir of sulfat assimilation, and the fate of unassimil sulfate.",Remember,Remember,Understand
Explain the significance of the position of rubber-synthesizing cis prenyltransferases in the structure of a rubber particle. ,Comprehension,explain the signific of the posit of rubber-synthes ci prenyltransferas in the structur of a rubber particle.,Understand,Create,Understand
Distinguish between the ripening behavior of climacteric and non-climacteric fruits in terms of their respiration rates and ethylene production.,Analysis,distinguish between the ripen behavior of climacter and non-climacter fruit in term of their respir rate and ethylen production.,Analyze,Analyze,Analyze
The oil palm (Elaeis guineensis) is an erect monoecious plant. Describe how its inflorescences develop into fruit and relate this to the pest control practice that could affect the productivity of the oil palm. ,Comprehension,the oil palm (elaei guineensis) is an erect monoeci plant. describ how it infloresc develop into fruit and relat thi to the pest control practic that could affect the product of the oil palm.,Understand,Apply,Understand
The major constituent of palm oil is triglyceride. Describe TWO reactions of triglyceride which could affect the quality of vegetable oils.,Comprehension,the major constitu of palm oil is triglyceride. describ two reaction of triglycerid which could affect the qualiti of veget oils.,Understand,Remember,Understand
Identify the key enzymes and explain their roles in fatty acid biosynthesis that contribute to the unique fatty acid composition of palm mesocarp oil.,Comprehension,identifi the key enzym and explain their role in fatti acid biosynthesi that contribut to the uniqu fatti acid composit of palm mesocarp oil.,Evaluate,Evaluate,Understand
"Discuss the benefits of palm oil, in terms of versatility, diet-health relationship and sustainability. ",Comprehension,"discu the benefit of palm oil, in term of versatility, diet-health relationship and sustainability.",Understand,Understand,Understand
"As a defence strategy, most plant secondary metabolites exert adverse effects on herbivores. Discuss how plants avoid poisoning themselves with these metabolites. ",Comprehension,"a a defenc strategy, most plant secondari metabolit exert advers effect on herbivores. discu how plant avoid poison themselv with these metabolites.",Understand,Understand,Understand
State the TWO biological isoprene building blocks and the enzyme involved in synthesising the precursor. ,Comprehension,state the two biolog isopren build block and the enzym involv in synthesis the precursor.,Remember,Remember,Remember
"Differentiate between phenylpropanoids and alkaloids in terms of structure, functions and applications. ",Analysis,"differenti between phenylpropanoid and alkaloid in term of structure, function and applications.",Analyze,Analyze,Analyze
"Illustrate with a labelled drawing the pathway of nitrate assimilation in leaf mesophyll cells. In your answer, discuss the origin of nitrate that is available to the mesophyll cells, the energy requirements of nitrate assimilation, the end products, and the fate of unassimilated nitrate. ",Comprehension,"illustr with a label draw the pathway of nitrat assimil in leaf mesophyl cells. in your answer, discu the origin of nitrat that is avail to the mesophyl cells, the energi requir of nitrat assimilation, the end products, and the fate of unassimil nitrate.",Understand,Analyze,Understand
Discuss the biological factors that cause the deterioration of cut flowers.,Comprehension,discu the biolog factor that caus the deterior of cut flowers.,Understand,Understand,Understand
Distinguish between the ripening behaviour of climacteric and non-climacteric fruits in terms of carbon dioxide release and ethylene synthesis. ,Analysis,distinguish between the ripen behaviour of climacter and non-climacter fruit in term of carbon dioxid releas and ethylen synthesis.,Analyze,Evaluate,Analyze
Name FIVE vital plant processes that herbicides target. ,Knowledge,name five vital plant process that herbicid target.,Analyze,Analyze,Analyze
Discuss the importance of knowing herbicide families and mode of action. ,Comprehension,discu the import of know herbicid famili and mode of action.,Understand,Understand,Understand
Give THREE examples of symptoms that resemble herbicide damage on plants. ,Comprehension,give three exampl of symptom that resembl herbicid damag on plants.,Understand,Understand,Understand
State THREE traits that are associated with invasive plants.,Knowledge,state three trait that are associ with invas plants.,Understand,Understand,Understand
Discuss TWO hypotheses for invasive plants to become successful outside of their native ranges. ,Comprehension,discu two hypothesi for invas plant to becom success outsid of their nativ ranges.,Understand,Understand,Understand
Weeds reduce the quality of crops and livestock. Explain. ,Comprehension,weed reduc the qualiti of crop and livestock. explain.,Understand,Evaluate,Understand
Write TWO reasons on the slow adoption of biological control in weed management. ,Comprehension,write two reason on the slow adopt of biolog control in weed management.,Create,Create,Create
Differentiate between contact and systemic herbicides. ,Analysis,differenti between contact and system herbicides.,Analyze,Analyze,Analyze
Briefly discuss the advantage of C3 and C4 pathways for weeds. ,Comprehension,briefli discu the advantag of c3 and c4 pathway for weeds.,Understand,Understand,Understand
Give TWO examples of natural and artificial means of the seed dispersal of weeds respectively. ,Comprehension,give two exampl of natur and artifici mean of the seed dispers of weed respectively.,Understand,Understand,Understand
Discuss issues of defining “weeds”. ,Comprehension,discu issu of defin “weeds”.,Understand,Remember,Understand
Define economic threshold and its use. ,Comprehension,defin econom threshold and it use.,Apply,Remember,Apply
List THREE factors in determining economic thresholds for weeds. ,Knowledge,list three factor in determin econom threshold for weeds.,Analyze,Analyze,Analyze
State the goal of integrated weed management and its essence.,Knowledge,state the goal of integr weed manag and it essence.,Apply,Remember,Apply
State the objective of proactive resistance management and briefly describe THREE methods of this management. ,Comprehension,state the object of proactiv resist manag and briefli describ three method of thi management.,Remember,Remember,Understand
Discuss THREE mechanisms of vegetative reproduction that make certain weeds successful in establishment. ,Comprehension,discu three mechan of veget reproduct that make certain weed success in establishment.,Understand,Create,Understand
Define allelopathy and list how allelopathic substance enters the environment. ,Comprehension,defin allelopathi and list how allelopath substanc enter the environment.,Remember,Remember,Remember
"With the aid of a flow chart, briefly describe the steps involved in developing a successful animal breeding programme. ",Comprehension,"with the aid of a flow chart, briefli describ the step involv in develop a success anim breed programme.",Understand,Understand,Understand
"Using a farm animal species of your choice, sketch a graph and describe the scenario that demonstrate a strong genotype by environmental interaction that could influence breeding objectives. ",Application,"use a farm anim speci of your choice, sketch a graph and describ the scenario that demonstr a strong genotyp by environment interact that could influenc breed objectives.",Apply,Apply,Apply
List FOUR conditions required in order for an animal population to remain at Hardy-Weinberg equilibrium.,Knowledge,list four condit requir in order for an anim popul to remain at hardy-weinberg equilibrium.,Analyze,Analyze,Analyze
Determine the possible number of unique zygotes that could be produced upon successful mating. ,Application,determin the possibl number of uniqu zygot that could be produc upon success mating.,Analyze,Analyze,Analyze
Justify whether the dam and sire are inbred or outbred. ,Evaluation,justifi whether the dam and sire are inbr or outbred.,Analyze,Analyze,Analyze
Describe the differences between progeny and sib testings. ,Comprehension,describ the differ between progeni and sib testings.,Understand,Remember,Understand
Briefly describe FOUR principles in selecting and purchasing breeding stock. ,Comprehension,briefli describ four principl in select and purchas breed stock.,Remember,Remember,Understand
Give ONE common crossbreed for porker production in Malaysia and name the state in Peninsular Malaysia that has the highest production rate. ,Comprehension,give one common crossbre for porker product in malaysia and name the state in peninsular malaysia that ha the highest product rate.,Remember,Remember,Analyze
Suggest and describe an assisted reproductive technique that the farm should use for rapid and cost effective production. ,Synthesis,suggest and describ an assist reproduct techniqu that the farm should use for rapid and cost effect production.,Apply,Understand,Understand
Determine which Angus bull is the heaviest. Justify your answer.,Evaluation,determin which angu bull is the heaviest. justifi your answer.,Analyze,Analyze,Analyze
Determine which Angus bull would produce the heaviest offspring (on average). Justify your answer. ,Evaluation,determin which angu bull would produc the heaviest offspr (on average). justifi your answer.,Analyze,Analyze,Analyze
Suggest TWO possible poultry breeds that Kaseem are breeding for Malaysia broiler industry. ,Synthesis,suggest two possibl poultri breed that kaseem are breed for malaysia broiler industry.,Analyze,Analyze,Analyze
"In your opinion, which parental group selected will give a higher gain in Kaseem's breeding programme. Show the calculation and justify your answer. ",Evaluation,"in your opinion, which parent group select will give a higher gain in kaseem' breed programme. show the calcul and justifi your answer.",Apply,Understand,Analyze
State the number of autosome and sex-chromosome for a rooster and a hen.,Knowledge,state the number of autosom and sex-chromosom for a rooster and a hen.,Remember,Remember,Remember
Briefly describe TWO mating methods of commercial importance for the production of fertilised eggs from breeder birds. ,Comprehension,briefli describ two mate method of commerci import for the product of fertilis egg from breeder birds.,Understand,Remember,Understand
“Domestication of animals does not influence human behavior and lifestyle.” State whether you agree or disagree with the statement. Justify your answer. ,Evaluation,“domest of anim doe not influenc human behavior and lifestyle.” state whether you agre or disagre with the statement. justifi your answer.,Remember,Remember,Remember
Briefly describe FOUR common characteristics that are possessed by a wild animal before they could be considered for domestication. ,Comprehension,briefli describ four common characterist that are possess by a wild anim befor they could be consid for domestication.,Understand,Remember,Understand
Differentiate between trait and phenotype. ,Analysis,differenti between trait and phenotype.,Analyze,Analyze,Analyze
Give an example of trait and phenotype to describe a Belgian Blue. ,Comprehension,give an exampl of trait and phenotyp to describ a belgian blue.,Understand,Remember,Understand
"The Friesian cow, a dairy breed, is a product of selective breeding. Predict the problems that may occur during the selection of Friesian Cows. ",Application,"the friesian cow, a dairi breed, is a product of select breeding. predict the problem that may occur dure the select of friesian cows.",Apply,Apply,Apply
Give TWO examples how breeding is similar to natural selection. ,Comprehension,give two exampl how breed is similar to natur selection.,Understand,Understand,Understand
"State, define and list the advantage(s) and disadvantage(s) of the THREE animal selection methods for multiple traits. ",Comprehension,"state, defin and list the advantage(s) and disadvantage(s) of the three anim select method for multipl traits.",Remember,Remember,Remember
Differentiate between crossbreeding and linebreeding. ,Analysis,differenti between crossbreed and linebreeding.,Analyze,Analyze,Analyze
Briefly describe the advantages of marker assisted selection in farm animal breeding. ,Comprehension,briefli describ the advantag of marker assist select in farm anim breeding.,Remember,Remember,Understand
Explain the principle of ultrasonography in pregnancy diagnosis for farm animals. ,Comprehension,explain the principl of ultrasonographi in pregnanc diagnosi for farm animals.,Understand,Evaluate,Understand
State THREE advantages of pregnancy diagnosis in animal breeding. ,Knowledge,state three advantag of pregnanc diagnosi in anim breeding.,Remember,Remember,Remember
Cyrus claimed that placentomes could be observed using a transabdominal probe to scan both pregnant sow and doe on day-20 of gestation. Justify whether his claim is true or false. ,Evaluation,cyru claim that placentom could be observ use a transabdomin probe to scan both pregnant sow and doe on day-20 of gestation. justifi whether hi claim is true or false.,Understand,Evaluate,Understand
Contrast B-mode and A-mode ultrasound systems. ,Comprehension,contrast b-mode and a-mod ultrasound systems.,Analyze,Analyze,Analyze
Briefly describe how poultry sexing is commonly carried out in a hatchery. ,Comprehension,briefli describ how poultri sex is commonli carri out in a hatchery.,Understand,Remember,Understand
Briefly describe the advantages of MOET in cattle breeding. ,Comprehension,briefli describ the advantag of moet in cattl breeding.,Understand,Remember,Understand
Describe the flow of MOET procedures in cattle breeding. ,Comprehension,describ the flow of moet procedur in cattl breeding.,Understand,Remember,Understand
Two different soils were obtained during sampling and the distance between the two sites were only 100 meters apart. Discuss TWO soil forming factors which are most likely to explain the differences. ,Comprehension,two differ soil were obtain dure sampl and the distanc between the two site were onli 100 meter apart. discu two soil form factor which are most like to explain the differences.,Understand,Understand,Understand
Justify why soil taxonomy is considered as a hierarchical classification system. ,Evaluation,justifi whi soil taxonomi is consid a a hierarch classif system.,Understand,Understand,Understand
State the SIX categories in soil taxonomy. ,Knowledge,state the six categori in soil taxonomy.,Remember,Remember,Remember
"With the aid of diagrams, describe how the soil structure influences the rate of water leaching.",Comprehension,"with the aid of diagrams, describ how the soil structur influenc the rate of water leaching.",Analyze,Evaluate,Analyze
Define soil pH. ,Knowledge,defin soil ph.,Remember,Remember,Remember
"Distinguish among acidic, saline and sodic soils. ",Analysis,"distinguish among acidic, salin and sodic soils.",Analyze,Analyze,Analyze
Differentiate between humic and non-humic substances. ,Analysis,differenti between humic and non-hum substances.,Analyze,Analyze,Analyze
Soil algae and protozoa are usually restricted at the uppermost soil layers and smaller than their aquatic counterparts. Justify. ,Evaluation,soil alga and protozoa are usual restrict at the uppermost soil layer and smaller than their aquat counterparts. justify.,Analyze,Analyze,Analyze
Illustrate SIX processes that occur in the hydrological cycle. ,Comprehension,illustr six process that occur in the hydrolog cycle.,Understand,Understand,Understand
"With suitable examples, briefly discuss the importance of soil aeration.",Comprehension,"with suitabl examples, briefli discu the import of soil aeration.",Understand,Understand,Understand
Describe THREE factors that affect soil aeration. ,Comprehension,describ three factor that affect soil aeration.,Understand,Remember,Understand
Define luxury consumption of plant nutrients. ,Knowledge,defin luxuri consumpt of plant nutrients.,Remember,Remember,Remember
Predict the effects of excess application of nitrogen fertilizer into the soil. ,Comprehension,predict the effect of excess applic of nitrogen fertil into the soil.,Analyze,Analyze,Analyze
Briefly describe how riparian forests help in  reducing nitrate contamination in rivers reducing nitrate and streams. ,Comprehension,briefli describ how riparian forest help in reduc nitrat contamin in river reduc nitrat and streams.,Understand,Remember,Understand
Discuss why the fertility program for potted plants is different from field crops. ,Comprehension,discu whi the fertil program for pot plant is differ from field crops.,Understand,Understand,Understand
"Propose a fertilizer placement method of nitrogen, phosphorus and potassium for a successful fertilization of a large mango tree. Justify your answer. ",Synthesis,"propos a fertil placement method of nitrogen, phosphoru and potassium for a success fertil of a larg mango tree. justifi your answer.",Create,Create,Create
List THREE factors that influence the type of irrigation used in agriculture. ,Knowledge,list three factor that influenc the type of irrig use in agriculture.,Apply,Apply,Apply
